id,text,anti_lgbt
39773,The trans women reading this tweet right now is beautiful,0
11001,Sounds like the kinda wholsesome life I'd die for ❤️ never met any black Lesbians before so i guess you're my first ever.,0
17034,Fuck off you insufferable retarded faggot.,1
23643,9) uhhhh i like being lgbt a lot. i feel proud of what i have done to help others in my community,0
7287,This sub is full of grade A faggots  Comedy fucking Ebola,1
11121,"They wanna fuck so bad just do it already nobody cares if you're gay.",0
19352,As a slightly feminine top I appreciate all masc bottoms that enjoy a dude like me,0
16311,Disregard all the science that says there are only two genders; looks like you're just fucked in the head.,1
16019,"Nice! As a bi couple we thoroughly enjoy bi dad friends =)",0
47899,i almost puke seeing this transvestite,1
16356,Dark skinned men wearing pink shirts always make me swoon a little bit.,0
13193,nope. my happily married lesbian buddy/supervisor/boss is super cute.,0
23629,it's pride month give ur money to black trans women,0
10501,If you respect trans rights you are good enough <3,0
6770,Well faggots can have they're gay little parades why can't straights?,1
12046,"No not again fuck off fag",1
19244,Huzzah! Am Bisexual. Currently crushing on Megan Rapinoe.,0
17156,"Shut the fuck up, faggot.",1
18677,my boyfriend and i are both bi! makes the relationship stronger imo,0
315,Go suk his tranny dick don't get in my grill,1
4574,"I'm not gay so there is no point in trying to sweet talk me faggot.",1
42739,And rot in hell you little boy peepee touching faggot Michael jackson,1
10369,The problem here is that no women want to be with disgusting bigots like you all.,0